game_id,home_team,away_team,home_score,away_score,true_percentage
2019_04_TEN_ATL,ATL,TEN,10,24,42
2019_04_WAS_NYG,NYG,WAS,24,3,13
2019_05_ARI_CIN,CIN,ARI,23,26,88
2019_05_ATL_HOU,HOU,ATL,53,32,60
2019_05_BAL_PIT,PIT,BAL,23,26,88
2019_05_BUF_TEN,TEN,BUF,7,14,50
2019_05_CHI_OAK,OAK,CHI,24,21,88
2019_05_CLE_SF,SF,CLE,31,3,10
2019_05_DEN_LAC,LAC,DEN,13,20,65
2019_05_GB_DAL,DAL,GB,24,34,71
2019_05_IND_KC,KC,IND,13,19,68
2019_05_JAX_CAR,CAR,JAX,34,27,79
2019_05_LA_SEA,SEA,LA,30,29,97
2019_05_MIN_NYG,NYG,MIN,10,28,36
2019_05_NE_WAS,WAS,NE,7,33,21
2019_05_NYJ_PHI,PHI,NYJ,31,6,19
2019_05_TB_NO,NO,TB,31,24,77
2019_06_ATL_ARI,ARI,ATL,34,33,97
2019_06_CAR_TB,TB,CAR,26,37,70
2019_06_CIN_BAL,BAL,CIN,23,17,74
2019_06_DAL_NYJ,NYJ,DAL,24,22,92
2019_06_DET_GB,GB,DET,23,22,96
2019_06_HOU_KC,KC,HOU,24,31,77
2019_06_NO_JAX,JAX,NO,6,13,46
2019_06_NYG_NE,NE,NYG,35,14,40
2019_06_PHI_MIN,MIN,PHI,38,20,53
2019_06_PIT_LAC,LAC,PIT,17,24,71
2019_06_SEA_CLE,CLE,SEA,28,32,88
2019_06_SF_LA,LA,SF,7,20,35
2019_06_TEN_DEN,DEN,TEN,16,0,0
2019_06_WAS_MIA,MIA,WAS,16,17,94
2019_07_ARI_NYG,NYG,ARI,21,27,78
2019_07_BAL_SEA,SEA,BAL,16,30,53
2019_07_HOU_IND,IND,HOU,30,23,77
2019_07_JAX_CIN,CIN,JAX,17,27,63
2019_07_KC_DEN,DEN,KC,6,30,20
2019_07_LA_ATL,ATL,LA,10,37,27
2019_07_LAC_TEN,TEN,LAC,23,20,87
2019_07_MIA_BUF,BUF,MIA,31,21,68
2019_07_MIN_DET,DET,MIN,30,42,71
2019_07_NE_NYJ,NYJ,NE,0,33,0
2019_07_NO_CHI,CHI,NO,25,36,69
2019_07_OAK_GB,GB,OAK,42,24,57
2019_07_PHI_DAL,DAL,PHI,37,10,27
2019_07_SF_WAS,WAS,SF,0,9,0
2019_08_ARI_NO,NO,ARI,31,9,29
2019_08_CAR_SF,SF,CAR,51,13,25
2019_08_CIN_LA,LA,CIN,24,10,42
2019_08_CLE_NE,NE,CLE,27,13,48
2019_08_DEN_IND,IND,DEN,15,13,87
2019_08_GB_KC,KC,GB,24,31,77
2019_08_LAC_CHI,CHI,LAC,16,17,94
2019_08_MIA_PIT,PIT,MIA,27,14,52
2019_08_NYG_DET,DET,NYG,31,26,84
2019_08_NYJ_JAX,JAX,NYJ,29,15,52
2019_08_OAK_HOU,HOU,OAK,27,24,89
2019_08_PHI_BUF,BUF,PHI,13,31,42
2019_08_SEA_ATL,ATL,SEA,20,27,74
2019_08_TB_TEN,TEN,TB,27,23,85
2019_08_WAS_MIN,MIN,WAS,19,9,47
2019_09_CHI_PHI,PHI,CHI,22,14,64
2019_09_CLE_DEN,DEN,CLE,24,19,79
2019_09_DAL_NYG,NYG,DAL,18,37,49
2019_09_DET_OAK,OAK,DET,31,24,77
2019_09_GB_LAC,LAC,GB,26,11,42
2019_09_HOU_JAX,JAX,HOU,3,26,12
2019_09_IND_PIT,PIT,IND,26,24,92
2019_09_MIN_KC,KC,MIN,26,23,88
2019_09_NE_BAL,BAL,NE,37,20,54
